group,variable,value
Karaoke,Karaoke,0.9999999480641291
Karaoke,Seafood Markets,0.0
Karaoke,British,0.0
Karaoke,American (New),0.0
Karaoke,Peruvian,0.013646611154372316
Karaoke,Internet Cafes,0.0
Karaoke,Food Stands,0.0
Karaoke,Vietnamese,0.0
Karaoke,Dance Clubs,0.0
Karaoke,Argentine,0.011655084910997359
Karaoke,Asian Fusion,0.19777234075112865
Karaoke,African,0.0
Karaoke,Sports Bars,0.0
Karaoke,Burgers,0.0
Karaoke,Halal,0.0
Karaoke,Donuts,0.012758581149299284
Karaoke,Szechuan,0.0
Karaoke,Dive Bars,0.0
Karaoke,Turkish,0.0171597677588087
Karaoke,Venues & Event Spaces,0.0
Karaoke,Gastropubs,0.0
Karaoke,Indian,0.0
Karaoke,Moroccan,0.012174589399907976
Karaoke,Polish,0.016004723782841727
Karaoke,Champagne Bars,0.029516907661840917
Karaoke,Southern,0.0
Karaoke,Lounges,0.0
Karaoke,Wineries,0.0
Karaoke,Tea Rooms,0.0
Karaoke,Bagels,0.0
Karaoke,Beer, Wine & Spirits,0.0
Karaoke,Persian-Iranian,0.0
Karaoke,Latin American,0.0
Karaoke,Tours,0.03941180326168985
Karaoke,Wine Bars,0.0
Karaoke,Shopping,0.0
Karaoke,Portuguese,0.10000000079322426
Karaoke,Meat Shops,0.0
Karaoke,Mexican,0.0
Karaoke,Hotels & Travel,0.0
Karaoke,Performing Arts,0.0
Karaoke,Venezuelan,0.0
Karaoke,Steakhouses,0.0
Karaoke,Afghan,0.0
Karaoke,Modern European,0.0
Karaoke,Convenience Stores,0.0
Karaoke,Golf,0.0
Karaoke,Grocery,0.0
Karaoke,Event Planning & Services,0.0
Karaoke,Country Dance Halls,0.100000000320287
Karaoke,Fish & Chips,0.0
Karaoke,Distilleries,0.009873754696397763
Karaoke,Fast Food,0.0
Karaoke,Shaved Ice,0.013591521748365809
Karaoke,Ethnic Food,0.0
Karaoke,Bars,0.0
Karaoke,Public Services & Government,0.0
Karaoke,Brasseries,0.0
Karaoke,Hot Dogs,0.0
Karaoke,Cinema,0.0
Karaoke,Caterers,0.0
Karaoke,French,0.0
Karaoke,Caribbean,0.0
Karaoke,Arts & Entertainment,0.0
Karaoke,Arabian,0.0
Karaoke,Thai,0.0
Karaoke,Butcher,0.0
Karaoke,Himalayan-Nepalese,0.014441058116365191
Karaoke,Brazilian,0.0
Karaoke,Gluten-Free,0.0
Karaoke,Jazz & Blues,0.0
Karaoke,Adult Entertainment,0.10000000079322426
Karaoke,Tex-Mex,0.0
Karaoke,Fruits & Veggies,0.0
Karaoke,Music Venues,0.0
Karaoke,Korean,0.0
Karaoke,Amusement Parks,0.0
Karaoke,Automotive,0.0
Karaoke,Tapas-Small Plates,0.0
Karaoke,Scandinavian,0.019085441454264895
Karaoke,Outlet Stores,0.026488007131200128
Karaoke,Laotian,0.014247679700474308
Karaoke,Pizza,0.0
Karaoke,Buffets,0.0
Karaoke,Malaysian,0.0
Karaoke,Food Delivery Services,0.0
Karaoke,Desserts,0.0
Karaoke,Car Wash,0.0
Karaoke,Creperies,0.0
Karaoke,Basque,0.0
Karaoke,Health Markets,0.0
Karaoke,Pool Halls,0.0
Karaoke,Cultural Center,0.1000000006113253
Karaoke,Specialty Food,0.09943161063017841
Karaoke,Sushi Bars,0.0
Karaoke,Piano Bars,0.10000000079322426
Karaoke,Arcades,0.0
Karaoke,Italian,0.0
Karaoke,Cheesesteaks,0.0
Karaoke,Chicken Wings,0.0
Karaoke,Bakeries,0.0
Karaoke,Hot Pot,0.010483662912445011
Karaoke,Pubs,0.0
Karaoke,Shanghainese,0.011141595602286973
Karaoke,Sandwiches,0.0
Karaoke,Irish,0.0
Karaoke,Juice Bars & Smoothies,0.0
Karaoke,Food Court,0.0
Karaoke,Barbeque,0.0
Karaoke,American (Traditional),0.0
Karaoke,Live-Raw Food,0.0
Karaoke,Kosher,0.0
Karaoke,Mongolian,0.013796124046054334
Karaoke,Hookah Bars,0.0
Karaoke,Soup,0.0
Karaoke,Chocolatiers & Shops,0.10000000079322426
Karaoke,Indonesian,0.10000000079322426
Karaoke,Personal Shopping,0.0
Karaoke,Tapas Bars,0.5456794550676148
Karaoke,Cambodian,0.09998253970841622
Karaoke,Gelato,0.0
Karaoke,Drugstores,0.0
Karaoke,Hotels,0.0
Karaoke,Fondue,0.0
Karaoke,Japanese,0.0
Karaoke,Cheese Shops,0.0
Karaoke,Soul Food,0.0
Karaoke,Mediterranean,0.0
Karaoke,Pakistani,0.0
Karaoke,Casinos,0.0
Karaoke,Vegetarian,0.0
Karaoke,Breakfast & Brunch,0.0
Karaoke,Breweries,0.0
Karaoke,Hawaiian,0.0
Karaoke,Shopping Centers,0.0
Karaoke,Filipino,1.0
Karaoke,Salvadoran,0.0
Karaoke,Vegan,0.0
Karaoke,Active Life,0.0
Karaoke,Ukrainian,0.019493779908498605
Karaoke,Landmarks & Historical Buildings,0.0
Karaoke,Do-It-Yourself Food,0.0
Karaoke,Coffee & Tea,0.0
Karaoke,Chinese,0.0
Karaoke,Swimming Pools,0.10000000079322426
Karaoke,Cajun-Creole,0.0
Karaoke,Greek,0.0
Karaoke,Ramen,0.0
Karaoke,Bowling,0.0
Karaoke,Spanish,0.9943012906305925
Karaoke,Cafes,0.0
Karaoke,Cuban,0.011954940898880983
Karaoke,Seafood,0.0
Karaoke,Belgian,0.0
Karaoke,Salad,0.0
Karaoke,Russian,0.0
Karaoke,Lebanese,0.0
Karaoke,German,0.0
Karaoke,Comfort Food,0.0
Karaoke,Cantonese,0.9731187966270772
Karaoke,Bubble Tea,0.0
Karaoke,Singaporean,0.0
Karaoke,Cocktail Bars,0.0
Karaoke,Nightlife,0.0
Karaoke,Ice Cream & Frozen Yogurt,0.0
Karaoke,Bistros,0.0
Karaoke,Local Flavor,0.0
Karaoke,RV Parks,0.0
Karaoke,Canadian (New),0.017086725610219063
Karaoke,Diners,0.0
Karaoke,Delis,0.0
Karaoke,Party & Event Planning,0.0
Karaoke,Festivals,0.0
Karaoke,Food,0.0
Karaoke,Street Vendors,0.0
Karaoke,Ethiopian,0.0
Karaoke,Food Trucks,0.0
Karaoke,Cafeteria,0.10000000079322426
Karaoke,Dim Sum,0.0
Karaoke,Scottish,0.0
Karaoke,Middle Eastern,0.0
Karaoke,Pretzels,0.0
Karaoke,Taiwanese,0.0
Seafood Markets,Karaoke,0.0
Seafood Markets,Seafood Markets,1.0
Seafood Markets,British,0.0
Seafood Markets,American (New),0.0
Seafood Markets,Peruvian,0.01364739734111586
Seafood Markets,Internet Cafes,0.0
Seafood Markets,Food Stands,0.0
Seafood Markets,Vietnamese,0.0
Seafood Markets,Dance Clubs,0.0
Seafood Markets,Argentine,0.01165764094139158
Seafood Markets,Asian Fusion,0.0
Seafood Markets,African,0.0
Seafood Markets,Sports Bars,0.0
Seafood Markets,Burgers,0.0
Seafood Markets,Halal,0.0
Seafood Markets,Donuts,0.01276175141237156
Seafood Markets,Szechuan,0.0
Seafood Markets,Dive Bars,0.0
Seafood Markets,Turkish,0.01695186784629705
Seafood Markets,Venues & Event Spaces,0.0
Seafood Markets,Gastropubs,0.0
Seafood Markets,Indian,0.0
Seafood Markets,Moroccan,0.01217900871256365
Seafood Markets,Polish,0.0160046799561373
Seafood Markets,Champagne Bars,0.03145721027206944
Seafood Markets,Southern,0.0
Seafood Markets,Lounges,0.0
Seafood Markets,Wineries,0.0
Seafood Markets,Tea Rooms,0.0
Seafood Markets,Bagels,0.0
Seafood Markets,Beer, Wine & Spirits,0.0
Seafood Markets,Persian-Iranian,0.0
Seafood Markets,Latin American,0.0
Seafood Markets,Tours,0.03941516502428345
Seafood Markets,Wine Bars,0.0
Seafood Markets,Shopping,0.0
Seafood Markets,Portuguese,0.09999999977510078
Seafood Markets,Meat Shops,0.0
Seafood Markets,Mexican,0.0
Seafood Markets,Hotels & Travel,0.0
Seafood Markets,Performing Arts,0.0
Seafood Markets,Venezuelan,0.0
Seafood Markets,Steakhouses,0.0
Seafood Markets,Afghan,0.0
Seafood Markets,Modern European,0.0
Seafood Markets,Convenience Stores,0.0
Seafood Markets,Golf,0.0
Seafood Markets,Grocery,0.0
Seafood Markets,Event Planning & Services,0.0
Seafood Markets,Country Dance Halls,0.09999999319035964
Seafood Markets,Fish & Chips,0.0
Seafood Markets,Distilleries,0.009873722883961678
Seafood Markets,Fast Food,0.0
Seafood Markets,Shaved Ice,0.01358309724163635
Seafood Markets,Ethnic Food,0.0
Seafood Markets,Bars,0.0
Seafood Markets,Public Services & Government,0.0
Seafood Markets,Brasseries,0.0
Seafood Markets,Hot Dogs,0.0
Seafood Markets,Cinema,0.0
Seafood Markets,Caterers,0.0
Seafood Markets,French,0.0
Seafood Markets,Caribbean,0.0
Seafood Markets,Arts & Entertainment,0.0
Seafood Markets,Arabian,0.0
Seafood Markets,Thai,0.0
Seafood Markets,Butcher,0.0
Seafood Markets,Himalayan-Nepalese,0.014320255485299726
Seafood Markets,Brazilian,0.0
Seafood Markets,Gluten-Free,0.0
Seafood Markets,Jazz & Blues,0.0
Seafood Markets,Adult Entertainment,0.09999999977510078
Seafood Markets,Tex-Mex,0.0
Seafood Markets,Fruits & Veggies,0.0
Seafood Markets,Music Venues,0.0
Seafood Markets,Korean,0.0
Seafood Markets,Amusement Parks,0.0
Seafood Markets,Automotive,0.0
Seafood Markets,Tapas-Small Plates,0.0
Seafood Markets,Scandinavian,0.019085014800973122
Seafood Markets,Outlet Stores,0.02648986710939301
Seafood Markets,Laotian,0.014185374955920836
Seafood Markets,Pizza,0.0
Seafood Markets,Buffets,0.0
Seafood Markets,Malaysian,0.0
Seafood Markets,Food Delivery Services,0.0
Seafood Markets,Desserts,0.0
Seafood Markets,Car Wash,0.0
Seafood Markets,Creperies,0.0
Seafood Markets,Basque,0.0
Seafood Markets,Health Markets,0.0
Seafood Markets,Pool Halls,0.0
Seafood Markets,Cultural Center,0.0999999976286933
Seafood Markets,Specialty Food,0.0
Seafood Markets,Sushi Bars,0.0
Seafood Markets,Piano Bars,0.09999999977510078
Seafood Markets,Arcades,0.0
Seafood Markets,Italian,0.0
Seafood Markets,Cheesesteaks,0.0
Seafood Markets,Chicken Wings,0.0
Seafood Markets,Bakeries,0.0
Seafood Markets,Hot Pot,0.010486562125054819
Seafood Markets,Pubs,0.0
Seafood Markets,Shanghainese,0.011182905192885687
Seafood Markets,Sandwiches,0.0
Seafood Markets,Irish,0.0
Seafood Markets,Juice Bars & Smoothies,0.0
Seafood Markets,Food Court,0.0
Seafood Markets,Barbeque,0.0
Seafood Markets,American (Traditional),0.0
Seafood Markets,Live-Raw Food,0.0
Seafood Markets,Kosher,0.0
